,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.374094499760907,,Intercept,312.69177741243607,313.0,0.3082225875639324,313.0
1,1,grade:A,1.1236399392206344,3.2437222205469834e-35,grade,86.69005179953724,87.0,0.30994820046275606,87.0
2,2,grade:B,0.8789300537746542,4.267381445306953e-47,grade,67.81041615763847,68.0,0.1895838423615288,68.0
3,3,grade:C,0.684806319477895,6.698226675958579e-34,grade,52.83355747337161,53.0,0.1664425266283871,53.0
4,4,grade:D,0.49692343447641063,1.3468716667369989e-20,grade,38.33818714653686,38.0,-0.33818714653686044,38.0
5,5,grade:E,0.3214948530499202,1.0250372208515947e-11,grade,24.8036799791162,25.0,0.19632002088379963,25.0
6,6,grade:F,0.13427984293556533,0.0062433933548139845,grade,10.359836931207683,10.0,-0.359836931207683,10.0
7,7,home_ownership:OWN,0.09350682849810232,3.4684146710259748e-06,home_ownership,7.21415421717156,7.0,-0.21415421717155958,7.0
8,8,home_ownership:MORTGAGE,0.10625372367715258,4.4069814520661696e-17,home_ownership,8.197591139253197,8.0,-0.1975911392531966,8.0
9,9,addr_state:NM_VA,0.036021708343574314,0.26081206470355844,addr_state,2.779114245777189,3.0,0.22088575422281087,3.0
10,10,addr_state:NY,0.055555874722183055,0.02183148289903701,addr_state,4.286196573588479,4.0,-0.2861965735884793,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05799788455842134,0.012255650035917526,addr_state,4.474600306678736,4.0,-0.4746003066787363,4.0
12,12,addr_state:CA,0.06215393192426951,0.003373685424037721,addr_state,4.795243912206505,5.0,0.20475608779349486,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07646325495049291,0.0021475487347552055,addr_state,5.899223853699171,6.0,0.10077614630082898,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13344210293293543,3.1491678056140516e-09,addr_state,10.29520437260274,10.0,-0.2952043726027398,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09789464664484865,0.0010331895774204447,addr_state,7.55267919225586,8.0,0.4473208077441404,8.0
16,16,addr_state:GA_WA_OR,0.1837618799311142,5.574147477512885e-12,addr_state,14.177430272777626,14.0,-0.17743027277762558,14.0
17,17,addr_state:WI_MT,0.23794343946173505,5.610616135485005e-07,addr_state,18.357596924336047,18.0,-0.35759692433604684,18.0
18,18,addr_state:TX,0.220962680260204,1.8348539761633444e-17,addr_state,17.04751275645107,17.0,-0.047512756451070004,17.0
19,19,addr_state:IL_CT,0.25990232874823194,5.67320241772688e-19,addr_state,20.051749279784612,20.0,-0.05174927978461241,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.31857005278698086,5.110290327215326e-25,addr_state,24.578028435906212,25.0,0.4219715640937878,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5219615403472134,1.0722573052177124e-22,addr_state,40.26990443348886,40.0,-0.2699044334888612,40.0
22,22,verification_status:Not Verified,0.08572510627583135,4.36638117488967e-09,verification_status,6.613785826024671,7.0,0.3862141739753291,7.0
23,23,verification_status:Source Verified,-0.011179582323103128,0.40518249310309473,verification_status,-0.8625170188941639,-1.0,-0.13748298110583612,-1.0
24,24,purpose:credit_card,0.30184473506728005,1.2602786161950933e-26,purpose,23.28765185807626,23.0,-0.28765185807625926,23.0
25,25,purpose:debt_consolidation,0.19807885090451052,2.5085724755641256e-14,purpose,15.282000261769884,15.0,-0.282000261769884,15.0
26,26,purpose:oth__med__vacation,0.21283126267151256,7.71935617176732e-12,purpose,16.42016498483638,16.0,-0.4201649848363793,16.0
